City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Tezu,IN,27.9167,96.1667,85.01,90,90,2.28,overcast clouds
183,Mar Del Plata,AR,-38.0023,-57.5575,53.62,100,90,9.22,mist
184,Inuvik,CA,68.3499,-133.7218,41.76,81,75,9.22,broken clouds
185,Saint George,US,37.1041,-113.5841,89.94,8,1,7.0,clear sky
186,Henties Bay,NA,-22.116,14.2845,56.66,75,0,5.77,clear sky
187,Paso De Los Toros,UY,-32.8167,-56.5167,59.09,92,10,9.86,clear sky
188,Porto Novo,BJ,6.4965,2.6036,76.82,87,99,7.58,light rain
189,Hay River,CA,60.8156,-115.7999,62.58,88,75,4.61,light rain
190,Kloulklubed,PW,7.0419,134.2556,77.5,76,97,8.59,overcast clouds
191,Delta Del Tigre,UY,-34.7633,-56.3853,59.11,92,5,9.98,clear sky
192,Kromy,RU,52.6876,35.7667,69.82,71,73,10.83,broken clouds
193,Isetskoye,RU,56.4858,65.3226,66.76,56,88,14.07,overcast clouds
194,Ulaangom,MN,49.9811,92.0667,63.72,59,100,9.24,overcast clouds
195,Opuwo,NA,-18.0607,13.84,58.8,30,0,5.23,clear sky
196,Mamakan,RU,57.8161,114.0028,75.76,52,84,2.46,broken clouds
197,Sao Lourenco,BR,-22.1164,-45.0544,55.38,91,100,1.99,overcast clouds
198,Izumo,JP,35.3667,132.7667,91.29,58,40,3.44,scattered clouds
199,Tiksi,RU,71.6872,128.8694,49.66,70,29,3.15,scattered clouds
200,Sorland,NO,67.667,12.6934,55.44,85,85,9.44,overcast clouds
201,Vredendal,ZA,-31.6683,18.5012,48.78,70,43,2.71,scattered clouds
202,Carepa,CO,7.7585,-76.6525,73.8,98,97,3.65,overcast clouds
203,Naze,JP,28.3667,129.4833,76.12,84,77,18.32,light rain
204,Carnarvon,AU,-24.8667,113.6333,78.87,70,100,25.32,overcast clouds
205,Muyezerskiy,RU,63.9333,31.65,56.46,62,0,7.9,clear sky
206,Selikhino,RU,50.3672,137.4996,59.79,83,100,16.62,overcast clouds
207,Soyo,AO,-6.1349,12.3689,71.65,89,69,5.82,broken clouds
208,Cabo San Lucas,MX,22.8909,-109.9124,82.62,79,73,8.77,broken clouds
209,Les Cayes,HT,18.2,-73.75,77.61,84,4,2.37,clear sky
210,Omsk,RU,55.0,73.4,75.09,53,0,4.47,clear sky
211,Jiaojiang,CN,28.6803,121.4428,85.33,75,85,14.18,light rain
212,Lixourion,GR,38.2019,20.4314,78.8,69,0,14.97,clear sky
213,Auray,FR,47.6703,-2.9918,60.8,90,61,16.73,broken clouds
214,Khani,GE,41.9563,42.9566,81.97,39,33,6.02,scattered clouds
215,Poros,GR,37.4994,23.4536,84.72,65,0,17.13,clear sky
216,San Quintin,MX,30.4833,-115.95,67.86,85,2,5.39,clear sky
217,Ca Mau,VN,9.1769,105.15,90.72,55,100,12.08,overcast clouds
218,Kismayo,SO,-0.3582,42.5454,77.34,76,51,14.85,broken clouds
219,Yaan,NG,7.3833,8.5667,70.38,99,100,6.78,light rain
220,Ahar,IR,38.4774,47.0699,78.46,32,31,2.3,scattered clouds
221,Bongandanga,CD,1.5,21.05,68.77,97,97,2.06,overcast clouds
222,East London,ZA,-33.0153,27.9116,49.14,93,0,3.44,clear sky
223,Tecpan,GT,14.7623,-90.9947,55.62,95,100,0.6,overcast clouds
224,Smithers,CA,54.7804,-127.1743,55.72,71,40,4.61,scattered clouds
225,Mindelo,CV,16.8901,-24.9804,76.55,69,40,13.8,scattered clouds
226,Kota Belud,MY,6.351,116.4305,91.26,57,50,7.31,scattered clouds
227,Buchanan,LR,5.8808,-10.0467,71.56,82,37,3.27,scattered clouds
228,Villa Carlos Paz,AR,-31.4241,-64.4978,59.25,46,32,6.4,scattered clouds
229,Rio Gallegos,AR,-51.6226,-69.2181,35.65,80,0,23.02,clear sky
230,San Jose,US,37.3394,-121.895,72.7,71,90,5.75,smoke
231,Husavik,IS,66.0449,-17.3389,48.11,80,17,3.83,few clouds
232,Kagadi,UG,0.9606,30.7967,66.04,77,34,0.65,scattered clouds
233,Batemans Bay,AU,-35.7167,150.1833,67.19,70,32,7.27,scattered clouds
234,Broome,US,42.2506,-75.833,73.0,89,99,2.8,overcast clouds
235,Sur,OM,22.5667,59.5289,93.42,53,25,7.29,scattered clouds
236,Jaque,PA,7.5175,-78.1703,77.7,89,100,3.53,light rain
237,Xining,CN,36.6167,101.7667,75.24,38,62,5.14,broken clouds
238,Beisfjord,NO,68.3751,17.5988,61.36,65,66,7.2,broken clouds
239,Ocos,GT,14.5094,-92.1933,82.31,78,92,6.42,overcast clouds
240,Fortuna,US,40.5982,-124.1573,63.36,67,72,1.01,broken clouds
241,Jiayuguan,CN,39.8167,98.3,76.62,20,100,5.57,overcast clouds
242,Shingu,JP,33.7333,135.9833,86.99,87,100,11.74,light rain
243,Sedro-Woolley,US,48.5039,-122.2361,66.56,80,90,3.44,overcast clouds
244,Correntina,BR,-13.3433,-44.6367,68.18,60,86,10.09,overcast clouds
245,Zyryanka,RU,65.75,150.85,63.43,53,66,10.94,broken clouds
246,Nanortalik,GL,60.1432,-45.2371,44.55,77,99,8.12,overcast clouds
247,Kamina,CD,-8.7386,24.9906,61.23,30,1,3.78,clear sky
248,Northam,GB,51.0333,-4.2167,59.31,95,37,16.73,scattered clouds
249,Thinadhoo,MV,0.5333,72.9333,80.67,77,100,15.59,overcast clouds
250,Bilma,NE,18.6853,12.9164,90.55,12,69,12.26,broken clouds
251,Cherdyn,RU,60.403,56.4787,57.49,62,88,9.98,overcast clouds
252,San Jeronimito,MX,17.55,-101.3333,78.62,86,100,4.61,overcast clouds
253,Ekibastuz,KZ,51.6667,75.3667,85.05,28,80,5.93,broken clouds
254,Rivne,UA,50.6231,26.2274,59.25,72,75,17.9,broken clouds
255,Batagay,RU,67.6333,134.6333,77.45,24,11,4.92,few clouds
256,Flinders,AU,-34.5833,150.8552,68.2,51,4,4.0,clear sky
257,Marzuq,YE,14.4,46.4667,80.06,56,13,7.72,few clouds
258,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,81,90,12.66,overcast clouds
259,Sobolevo,RU,54.4299,31.8996,63.39,94,99,8.72,overcast clouds
260,Olga,RU,43.7444,135.2892,83.52,66,97,9.57,overcast clouds
261,Poum,NC,-20.2333,164.0167,69.78,63,100,9.73,overcast clouds
262,Gat,IL,31.61,34.7642,90.39,52,0,8.12,clear sky
263,Lubango,AO,-14.9172,13.4925,55.67,42,0,3.44,clear sky
264,Souillac,MU,-20.5167,57.5167,72.36,73,75,12.66,broken clouds
265,Komatipoort,ZA,-25.4332,31.9548,64.06,83,3,5.3,clear sky
266,Sitka,US,57.0531,-135.33,60.69,77,90,4.61,light rain
267,Cassilandia,BR,-19.1133,-51.7342,62.47,61,47,3.76,scattered clouds
268,Toamasina,MG,-18.1667,49.3833,71.6,68,75,4.61,broken clouds
269,Kattivakkam,IN,13.2167,80.3167,93.29,52,86,9.78,overcast clouds
270,Cidreira,BR,-30.1811,-50.2056,60.04,92,81,13.82,broken clouds
271,Naron,ES,43.5167,-8.1528,64.6,88,34,9.64,scattered clouds
272,Anloga,GH,5.7947,0.8973,75.6,88,100,14.58,overcast clouds
273,Bridgetown,BB,13.1,-59.6167,79.29,83,40,11.5,scattered clouds
