City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
239,Ocos,GT,82.31,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
241,Jiayuguan,CN,76.62,overcast clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
242,Shingu,JP,86.99,light rain,33.7333,135.9833,Shingu UI Hotel
243,Sedro-Woolley,US,66.56,overcast clouds,48.5039,-122.2361,Natural Resources Department
244,Correntina,BR,68.18,overcast clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
252,San Jeronimito,MX,78.62,overcast clouds,17.55,-101.3333,Quinta Mamá Pía
255,Batagay,RU,77.45,few clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
256,Flinders,AU,68.2,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
260,Olga,RU,83.52,overcast clouds,43.7444,135.2892,Gostinitsa Rosmorport.
261,Poum,NC,69.78,overcast clouds,-20.2333,164.0167,Gîte kajeon
264,Souillac,MU,72.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
268,Toamasina,MG,71.6,broken clouds,-18.1667,49.3833,Hotel H1
272,Anloga,GH,75.6,overcast clouds,5.7947,0.8973,Pin Drop Hotel
273,Bridgetown,BB,79.29,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
274,Port Hedland,AU,86.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
278,Manta,EC,71.38,broken clouds,-0.95,-80.7333,Balandra Hotel
281,Fare,PF,78.31,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
283,Moroni,KM,76.78,clear sky,-11.7022,43.2551,Hotel les Arcades
285,Touros,BR,72.5,few clouds,-5.1989,-35.4608,INN NEW HORIZON
287,Tamandare,BR,73.13,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
288,Kununurra,AU,80.58,clear sky,-15.7667,128.7333,Hotel Kununurra
291,Ratnagiri,IN,83.14,broken clouds,16.9833,73.3,Hotel Landmark
293,Altagracia De Orituco,VE,69.64,scattered clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
298,Bolu,TR,68.58,overcast clouds,40.6667,31.5833,Sefa Green Hotel
301,Luanda,AO,71.6,overcast clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
302,Aldan,RU,68.18,light rain,58.6031,125.3894,Aldan Guest House
303,Ambilobe,MG,73.35,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
305,Hasaki,JP,86.29,moderate rain,35.7333,140.8333,Hotel Sunrise Choshi
306,Hargeysa,SO,72.64,scattered clouds,9.56,44.065,City Center Hotel
307,Yumbe,UG,66.34,overcast clouds,3.4651,31.2469,Terrain Hotel
309,Murmino,RU,73.47,broken clouds,54.6036,40.0544,Country house Alekanovo
312,Jabinyanah,TN,76.8,clear sky,35.035,10.9081,maison belmabrouk
314,Tautira,PF,78.82,clear sky,-17.7333,-149.15,Pension Oaoa
315,Fuyu,CN,84.52,clear sky,45.1833,124.8167,Education Hostel
316,Dongsheng,CN,82.26,clear sky,39.8161,109.9776,Crowne Plaza Ordos
317,Andros Town,BS,82.36,clear sky,24.7,-77.7667,Hanks place
318,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
320,Kaseda,JP,88.83,broken clouds,31.4167,130.3167,Sun Stay Kaseda
321,Bac Lieu,VN,89.44,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
322,Rosetown,CA,71.98,scattered clouds,51.5501,-108.0014,Travelodge by Wyndham Rosetown
323,Waingapu,ID,84.47,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
324,Paragominas,BR,69.69,broken clouds,-2.9667,-47.4833,INOVA
325,Bequimao,BR,79.12,broken clouds,-2.4489,-44.7825,Casa Dom Joaquim
327,Saint-Philippe,RE,74.21,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
329,Omboue,GA,74.03,overcast clouds,-1.5746,9.2618,Hotel Olako
330,Lhokseumawe,ID,87.93,broken clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
333,Ballina,AU,73.58,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
